Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot4,"ViolentAmbush",hard,37,Failed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","23:41:58","23:43:16",
Bot5,"PoppleO",hard,51,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_2","1","23:41:59","23:49:07",
Bot5,"PoppleO",hard,51,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_3","1","23:49:12","23:49:19",
Bot5,"PoppleO",hard,51,Active,"Assessment - Part 2","Zone meh_45_radio_area_mark_1","1","23:49:24","N/A",
Bot9,"5o2",hard,34,Failed,"USEC Camp North","USEC Camp North: Objective #1","1","23:42:02","23:49:23",
Bot8,"Tariyihika",hard,32,Failed,"Chumming","Zone place_skier_12_3","1","23:42:02","23:49:34",
Bot6,"Sarix",hard,64,Completed,"ZB014 Outhouses","ZB014 Outhouses: Objective #1","1","23:42:03","23:42:22",
Bot6,"Sarix",hard,64,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_4","1","23:42:27","23:42:53",
Bot6,"Sarix",hard,64,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_3","1","23:42:58","23:48:03",
Bot11,"MusicManiac",hard,33,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","23:42:03","00:05:36",
Bot11,"MusicManiac",hard,33,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","00:05:41","00:07:45",
Bot11,"MusicManiac",hard,33,Active,"The Blood of War - Part 3","Zone bar_fuel3_1","1","00:07:50","N/A",
Bot10,"K4_a",hard,44,Failed,"Chumming","Zone place_skier_12_3","1","23:42:04","00:03:48",
Bot12,"lukewarmpudding",hard,34,Completed,"Steady Signal","Zone q14_8_1","1","23:42:08","23:47:24",
Bot12,"lukewarmpudding",hard,34,Failed,"Steady Signal","Zone q14_8_3","1","23:47:29","23:49:29",
Bot13,"Bepis",hard,44,Failed,"Return the Favor","Zone place_keeper5_2","1","23:42:08","23:49:19",
Bot3,"Nikita",hard,40,Completed,"Return the Favor","Zone place_keeper5_1","2","23:46:33","23:47:29",
Bot3,"Nikita",hard,40,Completed,"Return the Favor","Zone place_keeper5_2","2","23:47:34","23:48:31",
Bot3,"Nikita",hard,40,Active,"Assessment - Part 2","Zone meh_45_radio_area_mark_1","1","23:48:37","N/A",
Bot32,"Archy",hard,32,Failed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","23:49:33","23:53:28",
